ID;Name;Rarity;Top Shelf Courses
k_8_bit_pipe_frame;8-Bit Pipe Frame;HighEnd;Athens Dash 2, Athens Dash 3T, DS Mario Circuit, GBA Cheep-Cheep Island R, GCN Yoshi Circuit T, RMX Choco Island 1R, RMX Choco Island 1T, RMX Mario Circuit 1 (Lvl 3), RMX Mario Circuit 1R/T, RMX Rainbow Road 1, RMX Rainbow Road 1R (Lvl 6), RMX Rainbow Road 2, RMX Vanilla Lake 1 (Lvl 8), RMX Vanilla Lake 1R, SNES Donut Plains 2, SNES Ghost Valley 1R/T, SNES Ghost Valley 2R, SNES Mario Circuit 1, SNES Mario Circuit 1R (Lvl 3), SNES Rainbow Road (Lvl 6), SNES Rainbow Road T, Tokyo Blur, Tokyo Blur T, Wii Dry Dry Ruins, Wii Koopa Cape R
k_apple_kart;Apple Kart;HighEnd;3DS Daisy Hills, 3DS Daisy Hills R (Lvl 3), 3DS Mario Circuit R/T, 3DS Rosalina's Ice World, 3DS Shy Guy Bazaar R (Lvl 3), 3DS Shy Guy Bazaar T (Lvl 8), GCN Dino Dino Jungle R, N64 Frappe Snowland, Paris Promenade 2, Paris Promenade 2R, Paris Promenade 2R/T, RMX Choco Island 1T, RMX Mario Circuit 1 (Lvl 6), SNES Choco Island 1R (Lvl 6), SNES Mario Circuit 3R/T, Tokyo Blur 2T
k_armored_rider;Armored Rider;HighEnd;3DS Piranha Plant Slide, 3DS Rosalina's Ice World, 3DS Rosalina's Ice World R/T, 3DS Shy Guy Bazaar R, 3DS Wario Shipyard, 3DS Wario Shipyard R/T, Athens Dash 2R/T, Athens Dash 2T, Berlin Byways 3R/T, DS Airship Fortress R, DS Luigi's Mansion, DS Shroom Ridge T, GBA Bowser's Castle 2T, GBA Bowser's Castle 3R/T, GBA Bowser's Castle 4, GBA Lakeside Park T, GBA Peach Circuit R, GCN Baby Park, London Loop 2, Madrid Drive, N64 Luigi Raceway R/T, N64 Yoshi Valley R/T, N64 Yoshi Valley T, New York Minute 2, New York Minute 3T, Ninja Hideaway (Lvl 8), Piranha Plant Cove 2T, Piranha Plant Cove R, RMX Ghost Valley 1R, RMX Mario Circuit 1R/T, RMX Vanilla Lake 1R (Lvl 3), Rome Avanti 3R, Rome Avanti R, Singapore Speedway 3R/T, SNES Choco Island 1, SNES Ghost Valley 1, SNES Ghost Valley 1R (Lvl 6), SNES Ghost Valley 1R/T, SNES Ghost Valley 2R, Sydney Sprint T, Wii Mushroom Gorge (Lvl 6), Wii Mushroom Gorge R, Wii Mushroom Gorge T (Lvl 3), Wii Rainbow Road
k_b_dasher;B Dasher;HighEnd;3DS Cheep Cheep Lagoon T, 3DS Daisy Hills, 3DS Mario Circuit, 3DS Toad Circuit, 3DS Toad Circuit R, GCN Yoshi Circuit T (Lvl 6), N64 Luigi Raceway, RMX Mario Circuit 1R/T (Lvl 6), RMX Rainbow Road 2R, SNES Donut Plains 1T (Lvl 8), SNES Mario Circuit 1, SNES Mario Circuit 1R (Lvl 3), SNES Mario Circuit 1T (Lvl 3), SNES Mario Circuit 3R/T, Tokyo Blur 3R
k_b_dasher_mk_2;B Dasher Mk. 2;HighEnd;3DS Daisy Hills T, 3DS Mario Circuit, 3DS Mario Circuit R, 3DS Mario Circuit T, 3DS Toad Circuit R (Lvl 3), 3DS Toad Circuit T, GBA Battle Course 1, London Loop 2, London Loop 2T, Los Angeles Laps, Los Angeles Laps 3, Los Angeles Laps R, N64 Luigi Raceway R, N64 Royal Raceway R, N64 Royal Raceway R/T, N64 Royal Raceway T, RMX Ghost Valley 1T (Lvl 8), RMX Mario Circuit 1R (Lvl 6), RMX Mario Circuit 1R/T, RMX Mario Circuit 1T (Lvl 3), SNES Mario Circuit 1R, SNES Mario Circuit 1R/T (Lvl 6), SNES Mario Circuit 2, SNES Mario Circuit 2R/T, SNES Mario Circuit 3, SNES Mario Circuit 3R, Sydney Sprint 2R, Tokyo Blur 4, Wii Mushroom Gorge R
k_badwagon;Badwagon;HighEnd;3DS Daisy Hills R, 3DS Neo Bowser City R, 3DS Rock Rock Mountain R, 3DS Rock Rock Mountain T (Lvl 3), 3DS Shy Guy Bazaar, 3DS Toad Circuit R/T (Lvl 3), GBA Bowser's Castle 1, GCN Yoshi Circuit R, N64 Choco Mountain T (Lvl 6), N64 Kalimari Desert, RMX Rainbow Road 2R, Rome Avanti 3R/T, SNES Choco Island 1R (Lvl 6), SNES Choco Island 1R/T (Lvl 8), SNES Donut Plains 2R, Tokyo Blur 4T, Wii Moonview Highway R/T
k_banana_master;Banana Master;HighEnd;3DS Cheep Cheep Lagoon (Lvl 6), 3DS Cheep Cheep Lagoon R (Lvl 3), 3DS Cheep Cheep Lagoon T, 3DS Daisy Hills R, DS Airship Fortress T, GBA Bowser's Castle 2R (Lvl 3), GBA Sunset Wilds R/T, GCN Dino Dino Jungle R, GCN Dino Dino Jungle T, Los Angeles Laps T, RMX Choco Island 1R, RMX Choco Island 1T, SNES Choco Island 1 (Lvl 8), SNES Choco Island 1R, SNES Choco Island 2R/T, SNES Vanilla Lake 1 (Lvl 6), SNES Vanilla Lake 1T
k_barrel_train;Barrel Train;Super;3DS Rock Rock Mountain, 3DS Rock Rock Mountain R, GCN Dino Dino Jungle R, N64 Kalimari Desert R (Lvl 3), N64 Kalimari Desert R/T, N64 Kalimari Desert T, N64 Koopa Troopa Beach R (Lvl 6)
k_biddybuggy;Biddybuggy;Normal;3DS Toad Circuit R/T (Lvl 6), N64 Koopa Troopa Beach T, SNES Choco Island 2
k_birthday_girl;Birthday Girl;Normal;3DS Daisy Hills (Lvl 6), 3DS Daisy Hills R, 3DS Toad Circuit T, SNES Choco Island 2T
