ID;Name;Rarity;Top Shelf Courses
g_8_bit_1_up_mushroom;8-Bit 1-Up Mushroom;HighEnd;3DS Cheep Cheep Lagoon, 3DS Piranha Plant Slide, 3DS Piranha Plant Slide R (Lvl 8), Athens Dash, Berlin Byways R, DS Mario Circuit, DS Peach Gardens, DS Peach Gardens R, DS Shroom Ridge R, GBA Battle Course 1, GBA Bowser's Castle 3, GBA Bowser's Castle 3R, GBA Bowser's Castle 4, GBA Peach Circuit R/T, GBA Riverside Park T, GBA Sky Garden (Lvl 6), GBA Sky Garden R, GCN Daisy Cruiser R, London Loop T, Madrid Drive 3R/T, Madrid Drive T, Merry Mountain R/T, New York Minute 3R/T, New York Minute T, Piranha Plant Cove, Piranha Plant Pipeline R/T, RMX Donut Plains 1, RMX Rainbow Road 1R (Lvl 3), Singapore Speedway 3R/T, Sky-High Sundae, SNES Choco Island 1R/T, SNES Choco Island 2 (Lvl 3), SNES Choco Island 2R, SNES Donut Plains 2, SNES Donut Plains 3T, SNES Ghost Valley 1R/T (Lvl 6), SNES Ghost Valley 2T, SNES Mario Circuit 2R/T, SNES Rainbow Road R/T, SNES Vanilla Lake 1, Squeaky Clean Sprint T, Sydney Sprint 2, Sydney Sprint 3, Tokyo Blur 3R/T, Vancouver Velocity 3R, Wii Dry Dry Ruins, Wii Koopa Cape R/T, Wii Moonview Highway R/T, Yoshi's Island R/T
g_8_bit_block_glider;8-Bit Block Glider;HighEnd;3DS Bowser's Castle R, 3DS Daisy Hills, 3DS Wario Shipyard, Athens Dash 2, Athens Dash R/T, Berlin Byways 3R/T, Berlin Byways T, DS DK Pass R/T, DS Mario Circuit T (Lvl 8), DS Peach Gardens T, GBA Bowser's Castle 3R, GBA Lakeside Park, GBA Yoshi Desert R/T, GCN Mushroom Bridge, London Loop R/T, Madrid Drive T, N64 Luigi Raceway R/T, N64 Mario Raceway R/T, New York Minute 2, New York Minute R, Piranha Plant Cove, Piranha Plant Cove 2, Piranha Plant Cove 3, Piranha Plant Cove 3R, RMX Bowser's Castle 1R/T, RMX Mario Circuit 1R/T (Lvl 3), RMX Mario Circuit 1T, RMX Vanilla Lake 2R/T, Rome Avanti 2T, Rome Avanti 3, Rome Avanti T, SNES Bowser Castle 3R, SNES Choco Island 1R, SNES Donut Plains 1R/T, SNES Donut Plains 2R/T, SNES Donut Plains 3R/T (Lvl 6), SNES Donut Plains 3T, SNES Koopa Troopa Beach 2T, SNES Mario Circuit 1, SNES Mario Circuit 1R (Lvl 3), SNES Mario Circuit 1R/T (Lvl 6), Squeaky Clean Sprint, Sydney Sprint 3R, Tokyo Blur 3R, Wii Coconut Mall R, Wii Daisy Circuit R/T, Wii DK Summit R, Wii Dry Dry Ruins, Wii Dry Dry Ruins R
g_8_bit_bullet_bill;8-Bit Bullet Bill;HighEnd;3DS Neo Bowser City, 3DS Rock Rock Mountain R, Athens Dash 2, Athens Dash 3T, Bangkok Rush 3, Bangkok Rush 3R/T, Berlin Byways T, DS Airship Fortress, DS Airship Fortress R (Lvl 3), DS Airship Fortress R/T, DS Airship Fortress T, DS Waluigi Pinball R/T, GBA Battle Course 1, GBA Bowser's Castle 1R, GBA Bowser's Castle 1T, GBA Bowser's Castle 2R (Lvl 6), GBA Bowser's Castle 2R/T, GBA Bowser's Castle 2T, GBA Bowser's Castle 4, GBA Cheep-Cheep Island T, GBA Sky Garden T, GBA Yoshi Desert R/T, GCN Daisy Cruiser R, GCN Mushroom Bridge T, GCN Waluigi Stadium R, N64 Choco Mountain R/T, N64 Kalimari Desert R, N64 Yoshi Valley T, New York Minute 4R/T, Ninja Hideaway R/T, Piranha Plant Cove 3R, RMX Choco Island 2, RMX Choco Island 2R, RMX Choco Island 2R/T, RMX Ghost Valley 1 (Lvl 8), RMX Ghost Valley 1R, Rome Avanti 3, SNES Ghost Valley 1, SNES Mario Circuit 3R, SNES Mario Circuit 3R/T (Lvl 6), SNES Vanilla Lake 1T, Sydney Sprint 2T, Wii Maple Treeway (Lvl 3)
g_8_bit_fire_flower;8-Bit Fire Flower;HighEnd;3DS Bowser's Castle, 3DS Mario Circuit R, 3DS Piranha Plant Slide T, 3DS Rainbow Road, Amsterdam Drift T, Athens Dash 3T, DS Twilight House, GBA Bowser's Castle 1R/T, GBA Bowser's Castle 1T, GBA Bowser's Castle 3T, GBA Cheep-Cheep Island, GCN DK Mountain, Los Angeles Laps 2, Madrid Drive 3, Madrid Drive R/T, Ninja Hideaway T, RMX Choco Island 1R/T, RMX Ghost Valley 1, RMX Ghost Valley 1R, RMX Mario Circuit 1T (Lvl 3), RMX Rainbow Road 2 (Lvl 8), RMX Rainbow Road 2R/T, Singapore Speedway 2R, SNES Choco Island 1T, SNES Donut Plains 2R/T, SNES Ghost Valley 1 (Lvl 3), SNES Ghost Valley 2T, SNES Mario Circuit 1R (Lvl 6), SNES Mario Circuit 2, SNES Mario Circuit 2T, SNES Mario Circuit 3, SNES Mario Circuit 3R/T, SNES Rainbow Road R/T, SNES Vanilla Lake 1, SNES Vanilla Lake 1R/T, SNES Vanilla Lake 1T, Sydney Sprint 2R, Sydney Sprint T, Tokyo Blur 3R/T, Tokyo Blur 4, Tokyo Blur 4R/T (Lvl 6), Tokyo Blur 4T, Vancouver Velocity 2T, Wii Koopa Cape T, Wii Maple Treeway R/T
g_8_bit_goomba;8-Bit Goomba;HighEnd;3DS Bowser's Castle T, 3DS Cheep Cheep Lagoon R, 3DS Piranha Plant Slide T, Amsterdam Drift 2R/T, Athens Dash 2R/T, Athens Dash 3, Athens Dash R, DS Mario Circuit, DS Mario Circuit R (Lvl 6), DS Shroom Ridge R, DS Twilight House, GBA Bowser's Castle 1, GBA Bowser's Castle 3, GBA Lakeside Park, GBA Luigi Circuit T, GBA Yoshi Desert, GCN Mushroom Bridge T, GCN Waluigi Stadium, Los Angeles Laps 3R/T, Madrid Drive R/T, N64 Koopa Troopa Beach R, New York Minute, RMX Choco Island 1, RMX Choco Island 2R, RMX Donut Plains 1R/T, RMX Donut Plains 1T (Lvl 6), RMX Ghost Valley 1R, RMX Mario Circuit 1, RMX Mario Circuit 1R/T (Lvl 3), RMX Mario Circuit 1T (Lvl 3), RMX Vanilla Lake 1R/T, RMX Vanilla Lake 2T, Rome Avanti 2R/T, SNES Bowser Castle 3, SNES Bowser Castle 3T, SNES Donut Plains 1R, SNES Donut Plains 2R/T, SNES Donut Plains 3R (Lvl 8), SNES Donut Plains 3R/T, SNES Koopa Troopa Beach 2R/T, Squeaky Clean Sprint T, Sydney Sprint 3, Tokyo Blur 2R/T, Tokyo Blur 3R, Wii Dry Dry Ruins R, Wii Dry Dry Ruins R/T
g_8_bit_jumping_luigi;8-Bit Jumping Luigi;Super;DS Luigi's Mansion R/T (Lvl 6), DS Waluigi Pinball R/T (Lvl 3), GBA Battle Course 1, N64 Frappe Snowland, N64 Luigi Raceway, New York Minute 2, RMX Rainbow Road 1R, Singapore Speedway 2T, SNES Donut Plains 2, SNES Mario Circuit 1R/T, SNES Mario Circuit 2T, SNES Mario Circuit 3R, SNES Mario Circuit 3R/T
g_8_bit_jumping_mario;8-Bit Jumping Mario;Super;GBA Bowser's Castle 2R, London Loop, N64 Luigi Raceway, RMX Mario Circuit 1, RMX Mario Circuit 1R/T, RMX Mario Circuit 1T, SNES Donut Plains 3, SNES Mario Circuit 1, SNES Mario Circuit 1R, SNES Mario Circuit 1R/T (Lvl 3), SNES Mario Circuit 2 (Lvl 6), SNES Mario Circuit 2R, SNES Mario Circuit 2R/T
g_8_bit_star;8-Bit Star;HighEnd;3DS Rainbow Road, 3DS Rainbow Road T (Lvl 3), 3DS Rosalina's Ice World, 3DS Wario Shipyard, Berlin Byways 2, DS DK Pass R (Lvl 3), DS DK Pass T, GBA Sunset Wilds R, Los Angeles Laps R, New York Minute 2R, RMX Choco Island 1R/T, RMX Mario Circuit 1 (Lvl 6), RMX Mario Circuit 1R/T, RMX Mario Circuit 1T (Lvl 6), RMX Rainbow Road 1, RMX Rainbow Road 1R/T, RMX Rainbow Road 1T, RMX Rainbow Road 2, Rome Avanti 3R/T, SNES Choco Island 1, SNES Choco Island 2 (Lvl 8), SNES Choco Island 2R, SNES Mario Circuit 3T, SNES Rainbow Road R, SNES Rainbow Road T, Sydney Sprint R/T
g_8_bit_super_glider;8-Bit Super Glider;HighEnd;3DS Bowser's Castle, 3DS Daisy Hills, 3DS Piranha Plant Slide, 3DS Piranha Plant Slide R, 3DS Wario Shipyard R/T, Amsterdam Drift 2R, Athens Dash, Athens Dash 2R/T, Berlin Byways 3R/T, DS Airship Fortress, DS Mario Circuit, DS Mario Circuit R/T (Lvl 8), DS Shroom Ridge R/T, GBA Bowser's Castle 4, GBA Lakeside Park T, GBA Peach Circuit T, GBA Sky Garden, GBA Snow Land R, GBA Yoshi Desert T, GCN Baby Park R/T, GCN Daisy Cruiser T, GCN Mushroom Bridge T, London Loop 3T, London Loop R, Los Angeles Laps 2T, Madrid Drive 2R/T, Madrid Drive 3, N64 Koopa Troopa Beach, N64 Luigi Raceway (Lvl 6), N64 Luigi Raceway R, N64 Mario Raceway, New York Minute R/T, Ninja Hideaway R/T, Piranha Plant Cove 3T, Piranha Plant Pipeline, RMX Vanilla Lake 1T, RMX Vanilla Lake 2T, Singapore Speedway 2T, Singapore Speedway T, Sky-High Sundae, SNES Bowser Castle 3T, SNES Donut Plains 3R (Lvl 6), SNES Mario Circuit 2, SNES Mario Circuit 2R (Lvl 3), SNES Mario Circuit 3R, SNES Mario Circuit 3R/T (Lvl 3), Squeaky Clean Sprint T, Wii Coconut Mall T, Wii DK Summit R/T, Wii Maple Treeway R, Wii Moonview Highway, Wii Moonview Highway T, Yoshi's Island R
g_8_bit_super_mushroom;8-Bit Super Mushroom;HighEnd;3DS Mario Circuit R, 3DS Mario Circuit R/T (Lvl 3), 3DS Toad Circuit, 3DS Toad Circuit R/T, 3DS Wario Shipyard T, Amsterdam Drift R/T, Athens Dash, Bangkok Rush 2T, Bangkok Rush R, DS Mario Circuit R/T, DS Shroom Ridge, GBA Bowser's Castle 4R, GBA Sky Garden, GBA Snow Land T, GCN Daisy Cruiser, GCN Yoshi Circuit R/T (Lvl 6), Madrid Drive 2, Madrid Drive 3R/T, Madrid Drive T, N64 Royal Raceway (Lvl 8), N64 Royal Raceway R/T, N64 Royal Raceway T, Paris Promenade 3, Piranha Plant Cove 2R, Piranha Plant Pipeline, RMX Choco Island 2R, RMX Ghost Valley 1R/T (Lvl 6), RMX Rainbow Road 1R/T, RMX Vanilla Lake 2, Rome Avanti 3R, Singapore Speedway R/T, SNES Bowser Castle 3T, SNES Choco Island 1R/T, SNES Donut Plains 1R/T (Lvl 3), SNES Donut Plains 2R, SNES Koopa Troopa Beach 2R, SNES Koopa Troopa Beach 2T, SNES Mario Circuit 1R/T, SNES Mario Circuit 1T, SNES Mario Circuit 2R, SNES Mario Circuit 2T, SNES Mario Circuit 3R/T, SNES Mario Circuit 3T, SNES Rainbow Road T, Squeaky Clean Sprint T, Wii Dry Dry Ruins R/T, Wii Mushroom Gorge R/T, Wii Mushroom Gorge T
g_block;? Block;Super;3DS Toad Circuit, 3DS Toad Circuit R/T (Lvl 6), 3DS Toad Circuit T, GBA Bowser's Castle 1R/T, GBA Bowser's Castle 2T, GCN Yoshi Circuit R/T, London Loop 2R, N64 Frappe Snowland T, RMX Mario Circuit 1R, RMX Rainbow Road 1R, Rome Avanti, SNES Koopa Troopa Beach 2R (Lvl 3), SNES Mario Circuit 3T
