ID;Name;Rarity;Top Shelf Courses
d_block_mii_racing_suit;? Block Mii Racing Suit;HighEnd;3DS Mario Circuit T, 3DS Neo Bowser City R, 3DS Rosalina's Ice World R/T, Athens Dash 3R, Bangkok Rush 2R/T, Berlin Byways 3R/T, DS Waluigi Pinball R, DS Waluigi Pinball T, GBA Bowser's Castle 2R (Lvl 6), GBA Bowser's Castle 2T, GBA Cheep-Cheep Island R, GBA Sky Garden R/T, GBA Sunset Wilds T, GBA Yoshi Desert R/T, GCN Yoshi Circuit R/T, London Loop 3R, N64 Frappe Snowland R/T, New York Minute 2, New York Minute R/T, Paris Promenade 2T, Paris Promenade R, Piranha Plant Cove 3R/T, RMX Bowser's Castle 1R, RMX Choco Island 1R/T, RMX Choco Island 2R/T, RMX Donut Plains 1R, RMX Rainbow Road 1, RMX Rainbow Road 1R/T, RMX Rainbow Road 2R/T, SNES Bowser Castle 3R, SNES Ghost Valley 2T, SNES Mario Circuit 3, SNES Rainbow Road R/T, SNES Vanilla Lake 2R (Lvl 3), Sydney Sprint 2R/T, Tokyo Blur R, Tokyo Blur R/T, Wii Coconut Mall R (Lvl 8), Wii DK Summit, Wii Koopa Cape R
d_baby_daisy;Baby Daisy;Normal;3DS Daisy Hills R/T, 3DS Daisy Hills T, SNES Choco Island 2R/T (Lvl 6)
d_baby_luigi;Baby Luigi;Normal;DS Luigi's Mansion R, DS Luigi's Mansion R/T, DS Waluigi Pinball R/T (Lvl 6), Paris Promenade 2R
d_baby_mario;Baby Mario;Normal;DS Waluigi Pinball, N64 Mario Raceway R, SNES Mario Circuit 1T, SNES Vanilla Lake 1R/T (Lvl 6)
d_baby_mario_koala;Baby Mario (Koala);HighEnd;3DS Rosalina's Ice World T, Amsterdam Drift 2, GBA Cheep-Cheep Island, GBA Cheep-Cheep Island R, GBA Lakeside Park T, GBA Sunset Wilds, GBA Sunset Wilds T, GCN Baby Park R, GCN Dino Dino Jungle, GCN Dino Dino Jungle R, GCN Dino Dino Jungle R/T, GCN Yoshi Circuit, Los Angeles Laps 3T, N64 Choco Mountain R/T, N64 Frappe Snowland R/T, N64 Kalimari Desert 2R/T, N64 Koopa Troopa Beach R (Lvl 3), N64 Koopa Troopa Beach T (Lvl 6), Ninja Hideaway R, Ninja Hideaway R/T, RMX Choco Island 1T, RMX Choco Island 2, RMX Choco Island 2T (Lvl 3), SNES Donut Plains 1T, SNES Donut Plains 3R, SNES Mario Circuit 1, SNES Mario Circuit 2, SNES Mario Circuit 3R/T (Lvl 8), Sydney Sprint, Sydney Sprint 2R, Sydney Sprint 3T, Sydney Sprint R/T, Wii DK Summit (Lvl 6), Wii DK Summit T
d_baby_peach;Baby Peach;Normal;3DS Cheep Cheep Lagoon, 3DS Rainbow Road (Lvl 6)
d_baby_peach_cherub;Baby Peach (Cherub);HighEnd;3DS Mario Circuit, DS DK Pass T (Lvl 3), DS Peach Gardens T, GCN Baby Park T, GCN Yoshi Circuit R/T, GCN Yoshi Circuit T, London Loop 2R, Los Angeles Laps 2R, N64 Frappe Snowland R/T, N64 Frappe Snowland T (Lvl 6), New York Minute 4, Paris Promenade 2, Paris Promenade 2R/T, Paris Promenade B, RMX Choco Island 1 (Lvl 8), RMX Choco Island 1R, RMX Choco Island 2T, RMX Rainbow Road 2T, SNES Choco Island 1 (Lvl 6), SNES Choco Island 1R, SNES Choco Island 1T, SNES Choco Island 2, SNES Donut Plains 1R, SNES Donut Plains 2, SNES Donut Plains 2R, SNES Donut Plains 2R/T, SNES Mario Circuit 2R/T, SNES Rainbow Road R, SNES Rainbow Road R/T (Lvl 3), Wii Daisy Circuit
d_baby_rosalina;Baby Rosalina;Normal;SNES Choco Island 2R/T (Lvl 6), SNES Choco Island 2T, SNES Rainbow Road T
d_baby_rosalina_detective;Baby Rosalina (Detective);HighEnd;3DS Daisy Hills (Lvl 3), 3DS Daisy Hills R/T, 3DS Shy Guy Bazaar T, Berlin Byways 2R, Berlin Byways 2R/T, DS Luigi's Mansion R/T, DS Luigi's Mansion T (Lvl 6), GCN Yoshi Circuit R/T, London Loop 2, London Loop 2R, London Loop 2R/T, London Loop 3T, London Loop R, N64 Frappe Snowland, N64 Frappe Snowland R, Ninja Hideaway R, Paris Promenade 2, Paris Promenade 3R, Piranha Plant Cove 3, RMX Choco Island 1, RMX Choco Island 1R (Lvl 6), RMX Choco Island 2R, RMX Mario Circuit 1R/T (Lvl 3), RMX Mario Circuit 1T, Rome Avanti 3R, SNES Bowser Castle 3T, SNES Mario Circuit 2R (Lvl 8), Sydney Sprint 2T, Tokyo Blur 2, Tokyo Blur 2T, Tokyo Blur R, Tokyo Blur T, Vancouver Velocity T, Wii Coconut Mall R
d_birdo;Birdo;Super;3DS Rainbow Road T, DS Waluigi Pinball T (Lvl 6), GBA Bowser's Castle 2R, GBA Bowser's Castle 2T, GCN Dino Dino Jungle R/T, N64 Frappe Snowland R/T, SNES Choco Island 1T, SNES Choco Island 2R/T, SNES Donut Plains 2R, SNES Ghost Valley 1R/T (Lvl 3), Vancouver Velocity T
